Table with row headers in column A and column headers in rows 4 and 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-8A.  Median Income of Households by State - Two-Year Moving Averages: 1984 to 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Income in 2015 CPI-U-RS adjusted dollars.  Use to evaluate changes in state estimates over time.  Beginning with the 2009-2010 two-year average, 2010 Census based population controls are used and standard errors are calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2014-2015,,2012-2013 (38),,2011-2012,,2010-2011 (37),,2009-2010 (36) (37),,2008-2009 (36),,2007-2008,,2006-2007,,2005-2006,,2004-2005(revised),,2003-2004(revised),,2002-2003,,2001-2002,,2000-2001 (30),,1999-2000 (29) (30),,1998-1999 (29),,1997-1998,,1996-1997,,1995-1996 (25),,1994-1995 (24) (25),,1993-1994 (23) (24),,1992-1993 (22) (23),,1991-1992 (22),,1990-1991,,1989-1990,,1988-1989,,1987-1988 (21),,1986-1987 (21),,1985-1986 (20),,1984-1985 (19) (20),,,,,
D.C.,"69,213","2,805","64,547","2,411","62,791","2,541","60,057","2,345","61,487","2,682","59,951","1,748","59,624","1,327","57,520","1,342","55,797","1,900","54,564","2,043","56,284","1,718","54,760","1,298","53,293","1,101","55,923","1,169","55,880","1,558","51,806","1,721","47,757","1,384","47,514","1,593","47,811","1,733","47,593","1,470","45,891","1,889","47,099","1,928","50,408","2,128","49,466","2,460","48,793","1,915","50,445","1,367","53,158","1,677","52,508","2,115","47,245","1,737","44,323","1,423",,,,
Florida,"47,509",884,"48,142","1,014","47,548",936,"47,720","1,235","49,095","1,240","49,895",710,"50,865",661,"53,022",572,"52,935",711,"51,519",732,"50,542",729,"50,158",851,"49,426",694,"51,117",663,"52,232",787,"50,859",827,"49,268",814,"46,956",670,"46,039",707,"46,168",800,"46,247",881,"45,706",831,"45,774",689,"46,609",659,"47,555",689,"48,544",736,"48,911",766,"48,027",850,"46,005",837,"43,927",796,,,,
Georgia,"50,190","1,245","48,974","1,198","49,063","1,711","48,205","2,019","47,730","1,750","49,383","1,097","53,246","1,033","56,805","1,092","56,873","1,009","53,582",740,"53,057",848,"55,629","1,119","56,783","1,189","57,332","1,063","56,884","1,282","56,145","1,497","55,096","1,262","51,450","1,618","50,799","1,631","51,252","1,384","50,482","1,637","49,420","1,668","46,939","1,595","47,345","1,617","49,671","1,633","51,006","1,484","52,250","1,864","51,818","2,079","47,266","1,633","43,834","1,408",,,,
Hawaii,"67,909","2,123","60,283","1,642","60,155","1,922","63,477","2,277","63,186","2,466","64,600","1,597","70,456","1,683","72,136","1,764","71,702","1,367","71,444","1,487","68,684","1,580","64,558","1,447","62,913","1,433","67,225","1,365","67,135","1,767","61,330","2,497","59,812","2,295","61,575","2,029","64,541","2,005","66,552","2,452","67,905","2,757","69,330","2,148","66,480","2,116","65,857","2,160","66,582","2,029","64,142","2,183","66,762","2,063","64,893","1,906","60,361","2,276","61,812","2,337",,,,
Idaho,"52,562","1,542","51,073","2,652","49,743","3,196","50,582","2,635","51,334","2,402","51,939","1,340","54,213","1,371","55,275","1,240","53,970","1,259","54,637","1,342","55,132","1,242","52,146","1,128","50,441","1,139","51,479","1,209","51,353","1,504","52,124","1,482","51,254","1,465","50,715","1,639","51,365","1,540","50,207","1,542","50,009","1,709","47,988","1,486","45,104","1,315","44,430","1,422","45,020","1,428","45,340","1,518","43,300","1,480","42,132","1,263","43,227","1,094","44,736","1,397",,,,
Illinois,"57,696","1,379","55,804","1,229","53,387","1,162","54,256","1,309","56,748","1,265","58,515","1,033","59,323","1,051","58,619","1,013","57,977","1,056","58,278",917,"58,002",997,"57,228","1,033","59,039",947,"62,604","1,030","64,662","1,148","64,337","1,341","61,778","1,224","60,163","1,167","59,179","1,243","57,181","1,075","54,307","1,057","52,665","1,049","53,185","1,009","55,693","1,021","57,522",996,"57,323","1,072","55,467","1,042","54,397",980,"53,490",991,"51,944",958,,,,
Indiana,"50,049","1,444","49,544","2,062","47,245","1,950","48,499","2,345","49,516","2,053","50,078","1,029","52,729","1,126","53,812","1,186","52,441","1,146","52,309","1,142","53,893","1,103","54,375",915,"54,067",930,"55,149",910,"57,176","1,454","57,925","1,954","57,510","1,672","55,084","1,519","52,242","1,721","47,844","1,597","45,858","1,583","47,432","1,798","46,614","1,547","46,684","1,441","47,596","1,569","49,226","1,512","47,799","1,511","45,936","1,381","47,280","1,142","48,570","1,176",,,,
Iowa,"59,366","2,396","55,493","1,596","54,047","1,887","53,105","1,508","54,533","1,783","55,615","1,284","55,554","1,268","56,242","1,402","56,505","1,388","55,441","1,454","53,888","1,271","53,705","1,097","54,467","1,247","55,635","1,088","57,448","1,128","56,140","1,379","51,779","1,494","49,866","1,724","52,433","1,561","53,625","1,439","49,334","1,655","46,952","1,488","48,033","1,367","48,244","1,418","48,252","1,316","47,650","1,464","45,556","1,602","45,330","1,386","45,166","1,160","43,574","1,191",,,,
Kansas,"54,185","2,564","52,003","1,111","50,126","1,543","49,349","1,756","49,600","2,512","51,052","1,454","54,072","1,492","54,494","1,462","52,278","1,099","51,268","1,421","54,265","1,609","56,574","1,272","55,795","1,180","55,976","1,274","54,827","1,914","53,248","2,187","53,535","1,942","51,376","1,880","47,962","1,503","45,859","1,279","46,464","1,452","49,173","1,533","49,990","1,427","51,186","1,510","51,116","1,545","49,415","1,608","50,158","1,655","50,231","1,402","48,635","1,563","50,709","1,707",,,,
Kentucky,"42,611","1,452","42,656","1,323","42,209","1,728","43,344","2,314","45,883","2,158","46,214",976,"45,199",946,"45,758","1,077","45,479",956,"44,611","1,083","46,141","1,088","48,015",927,"49,944","1,029","50,684","1,036","48,960","1,374","50,346","1,770","50,978","1,907","49,023","1,895","47,422","1,623","44,082","1,398","40,739","1,393","39,136","1,583","39,615","1,588","41,972","1,609","43,293","1,792","40,662","1,561","39,807","1,407","41,148","1,624","38,751","1,506","37,455","1,624",,,,
Louisiana,"44,189","1,358","40,332","1,872","41,598","1,573","42,786","2,352","46,240","3,247","46,871","1,498","45,390","1,124","45,060","1,141","44,043","1,335","45,451","1,287","44,445","1,225","43,992","1,267","44,706","1,338","43,443","1,133","44,371","1,209","46,292","1,728","47,554","1,930","47,263","1,739","44,366","1,491","41,917","1,680","41,576","1,754","42,317","1,549","42,535","1,583","41,186","1,962","40,814","2,557","40,841","2,580","41,050","1,897","42,871","1,516","43,811","1,445","42,846","1,418",,,,
Maine,"51,263","1,550","50,873","1,527","51,558","1,824","52,238","1,632","52,162","1,717","52,233","1,442","53,370","1,306","54,202","1,531","53,481","1,586","52,583","1,346","49,843","1,134","48,189",959,"48,782",982,"50,151","1,006","53,294","1,269","53,547","1,401","50,032","1,418","50,240","1,536","52,268","1,440","50,155","1,704","46,158","1,803","46,686","1,498","48,175","1,576","47,817","2,018","50,212","2,190","51,475","1,811","48,983","1,582","47,733","1,658","45,733","1,518","43,999","1,484",,,,
Maryland,"74,923","2,837","70,282","2,462","73,372","1,771","71,190","2,062","70,305","1,848","70,521","1,560","72,580","1,580","74,935","1,553","74,143","1,510","72,546","1,611","69,534","1,528","70,864","1,482","72,987","1,738","73,359","1,702","74,671","2,117","73,486","2,586","70,725","2,200","67,481","2,525","64,814","2,646","62,734","1,945","63,286","1,762","63,065","1,965","62,166","2,096","65,551","2,145","67,431","2,061","68,444","1,847","70,107","2,089","66,493","2,025","63,247","1,713","63,949","1,866",,,,
Massachusetts,"65,542","2,076","64,890","2,800","66,218","2,992","66,483","2,436","65,594","2,394","65,996","1,551","66,617","1,816","65,937","2,052","66,515","1,881","66,629","1,734","65,468","1,386","65,673","1,132","67,817","1,466","67,149","1,603","63,482","1,971","62,078","2,353","61,717","2,021","60,663","2,046","59,522","2,138","61,858","1,635","61,994","1,320","60,044","1,135","60,416","1,053","62,204","1,150","65,199","1,133","65,294","1,201","64,168","1,252","63,496","1,211","60,947","1,323","58,935","1,319",,,,
Michigan,"53,134","1,201","50,644","1,498","51,572","1,471","50,910","1,658","50,520","1,811","52,809",978,"55,623",902,"56,812",844,"56,467",923,"54,384",898,"55,520",946,"57,147","1,109","58,290","1,084","61,471","1,101","64,110","1,219","63,180","1,148","58,920","1,221","58,044","1,377","57,660","1,339","56,071","1,084","54,310",898,"53,100",971,"53,975",998,"53,599",960,"54,746","1,082","56,789","1,083","56,034","1,077","55,111","1,144","52,928","1,279","50,429","1,295",,,,
Minnesota,"68,026","2,301","62,883","1,217","62,363","1,690","58,907","1,899","59,299","1,308","61,213","1,208","63,416","1,541","66,224","1,489","65,939","1,209","68,098","1,173","69,235","1,204","70,017","1,297","71,243","1,271","72,595","1,604","70,799","1,856","68,291","2,170","66,171","2,190","62,188","1,674","60,153","1,952","55,937","2,067","53,836","1,690","52,859","1,687","50,671","1,682","52,704","1,543","55,545","1,719","55,873","1,796","56,043","1,738","55,323","1,888","52,355","1,858","51,622","1,699",,,,
Mississippi,"37,800",880,"39,696","1,537","40,565","1,860","42,394","2,574","40,101","2,076","39,436",979,"41,368",823,"41,723","1,231","40,365","1,411","41,754","1,228","42,893","1,173","41,431","1,011","40,531","1,079","43,791","1,420","46,710","1,589","44,267","1,517","42,148","1,533","41,060","1,652","40,578","1,470","40,608","1,147","38,028","1,324","34,957","1,547","33,561","1,465","34,283","1,318","36,137","1,301","35,879","1,421","35,974","1,442","35,523","1,288","34,287","1,076","34,014","1,191",,,,
Missouri,"57,946","2,091","51,283","2,406","49,806","1,989","49,024","2,028","51,715","2,062","52,278","1,250","51,636","1,037","52,498","1,201","52,288","1,177","52,521","1,047","54,634","1,018","56,375","1,048","55,848","1,245","58,704","1,333","60,476","1,367","58,654","1,835","56,131","2,363","52,700","2,192","52,691","1,807","50,802","1,810","47,063","1,911","45,823","1,960","46,356","1,974","47,750","1,994","48,505","1,603","47,034","1,441","46,253","1,819","46,306","1,625","45,678","1,183","45,629","1,166",,,,
Montana,"51,278","1,847","45,726","2,049","44,496","1,991","43,661","1,745","44,778","1,707","45,949","1,275","48,565","1,596","49,112","1,179","46,803",931,"43,946",956,"43,281",941,"44,924","1,222","44,450","1,075","44,059",978,"44,638","1,131","45,028","1,243","44,458","1,369","43,095","1,672","43,030","1,680","43,315","1,514","43,251","1,455","43,344","1,140","43,034","1,119","41,638","1,333","42,434","1,716","43,278","1,667","41,846","1,311","41,417","1,290","42,241","1,326","42,493","1,334",,,,
Nebraska,"58,705","2,111","54,300","1,872","56,247","1,795","57,845","2,004","55,799","1,779","55,316","1,325","56,028","1,216","56,405","1,368","57,380","1,441","56,552","1,408","55,805","1,378","56,525","1,256","57,382","1,176","57,921","1,190","56,212","1,383","53,940","1,725","52,008","1,849","51,141","1,852","51,037","1,666","50,606","1,459","50,212","1,284","49,927","1,287","49,958","1,431","49,260","1,520","48,472","1,983","48,522","1,932","47,455","1,387","45,697","1,315","45,373","1,481","46,158","1,474",,,,
Nevada,"50,970","1,643","47,514","2,097","49,220","2,419","52,619","2,132","56,169","1,745","58,542","1,769","61,030","1,856","61,628","1,212","59,985","1,451","58,870","1,552","58,729","1,537","58,729","1,457","60,006","1,250","61,879","1,194","60,987","1,634","58,387","1,775","57,502","1,692","57,611","1,952","56,880","1,836","56,271","1,835","57,321","1,724","55,349","1,263","54,374","1,676","56,131","1,950","55,256","1,574","54,030","1,476","53,778","1,686","53,888","1,688","51,510","1,628","52,466","1,777",,,,
New Hampshire,"74,579","2,673","71,291","2,060","69,720","1,714","70,933","1,535","71,551","1,882","71,848","2,330","75,049","2,351","75,049","1,585","71,004","1,736","70,225","1,708","71,449","1,373","72,245","1,388","70,800","1,113","69,403","1,119","67,812","1,869","65,435","2,255","62,861","2,087","59,842","2,044","59,918","2,061","58,161","2,187","58,562","2,271","63,318","2,388","63,234","2,256","66,484","1,883","70,544","1,990","67,988","1,936","65,624","2,093","63,808","1,922","59,267","1,637","55,904","1,594",,,,
New Jersey,"66,838","2,240","65,856","1,831","67,272","2,215","67,075","2,497","69,628","2,554","71,726","1,913","70,531","1,741","74,588","1,651","78,457","2,084","73,133","1,815","70,791","1,206","72,057","1,428","70,598","1,404","69,339","1,074","70,071","1,393","71,590","1,679","71,571","1,719","71,080","1,616","69,656","1,644","67,401","1,587","66,178","1,346","65,006","1,228","66,282","1,297","68,072","1,347","70,188","1,345","71,055","1,247","69,124","1,175","66,912","1,366","65,281","1,274","62,737","1,274",,,,
New Mexico,"45,929","2,248","43,846","1,918","44,536","1,950","46,655","2,418","48,593","2,358","47,224","1,303","48,527","1,318","48,880","1,301","47,162","1,464","48,455","1,664","47,440","1,429","45,976","1,179","45,528","1,257","46,321","1,387","47,325","1,740","46,096","1,860","45,077","1,537","41,031","1,375","38,959","1,373","41,376","1,603","42,909","1,483","43,026","1,502","43,937","1,751","44,556","1,592","42,892","1,538","39,445","1,442","39,303","1,173","41,203","1,098","41,939","1,487","43,878","1,804",,,,
New York,"56,189","1,643","52,004","1,198","51,293","1,105","53,741",990,"54,767","1,050","55,512",581,"55,750",744,"56,319",909,"56,972",891,"56,640",821,"55,582",871,"55,214",782,"55,833",644,"56,227",658,"56,489",852,"55,623",978,"53,535",849,"53,006",846,"52,164",916,"50,766",771,"50,851",680,"51,314",729,"52,695",735,"54,780",745,"56,866",713,"56,918",881,"54,182",909,"52,165",776,"50,663",854,"48,776",826,,,,
North Carolina,"48,818","1,142","42,413","1,373","45,269","1,299","47,645","1,600","46,937","1,401","46,777",649,"48,501",890,"48,263",900,"48,913",876,"50,766",900,"49,265",918,"48,073",889,"49,597",915,"51,912",980,"52,873","1,019","52,546","1,172","52,436","1,166","53,180","1,179","51,497","1,188","48,543","1,003","47,114",869,"46,274",852,"45,785",776,"45,957",758,"47,538",794,"47,886",816,"46,231",869,"45,282","1,041","45,099","1,098","44,892","1,078",,,,
North Dakota,"59,108","2,231","55,691","1,923","58,483","2,323","57,423","2,586","55,100","2,483","54,977","1,337","54,299","1,139","51,107","1,281","49,730","1,288","50,210","1,254","50,644","1,104","49,883",897,"47,804",888,"48,729","1,050","48,010","1,418","45,259","1,514","45,337","1,530","46,994","1,557","46,156","1,505","44,857","1,498","45,094","1,285","45,035","1,168","44,297","1,263","44,204","1,376","45,515","1,410","46,489","1,485","45,736","1,541","44,734","1,409","44,476","1,364","44,853","1,633",,,,
Ohio,"51,501","1,280","46,511","1,155","46,431","1,293","48,468","1,206","50,215","1,244","51,175",671,"53,897",897,"55,043",827,"53,803",841,"53,836","1,025","55,054",996,"56,158",914,"56,086",785,"57,533",778,"57,660",998,"56,380","1,540","54,895","1,508","52,245","1,201","52,634","1,285","52,209","1,022","50,484",817,"51,273",836,"51,286",933,"51,691","1,050","53,193","1,017","53,502","1,000","52,441",959,"51,648",954,"52,369",985,"51,579",927,,,,
Oklahoma,"47,165","1,880","47,258","2,340","50,518","2,449","48,961","1,948","48,825","2,120","50,721",940,"50,082","1,118","47,529","1,455","45,672","1,494","47,698","1,305","47,986",998,"47,149",747,"47,851",712,"46,153",780,"45,571","1,314","47,760","1,610","47,596","1,358","43,732","1,294","40,975","1,234","41,691","1,357","42,575","1,784","42,147","1,731","42,545","1,484","43,065","1,507","43,299","1,697","44,637","1,553","44,444","1,326","43,272","1,464","43,899","1,399","45,263","1,301",,,,
Oregon,"59,888","2,081","55,371","1,648","53,875","1,718","54,656","1,412","54,586","1,845","55,591","1,370","57,185","1,259","56,392","1,312","54,476","1,368","52,516","1,240","52,548","1,053","54,365",974,"55,162",877,"56,872",946,"58,145","1,269","57,287","1,905","55,818","2,233","54,134","1,880","54,811","1,408","53,001","1,352","51,665","1,504","53,203","2,199","52,058","2,189","51,386","1,457","52,095","1,807","53,055","2,002","51,715","1,805","50,561","1,745","48,570","1,749","46,260","1,573",,,,
Pennsylvania,"57,812","1,778","54,240","1,076","53,090","1,369","52,561","1,468","52,760","1,417","54,901",700,"55,978",714,"56,179",857,"56,590",792,"55,768",914,"55,335",951,"55,658",842,"57,111",828,"58,139",796,"55,887","1,081","55,214","1,312","55,979","1,229","53,887","1,185","52,936","1,042","52,054",859,"50,416",886,"49,779",914,"50,515",882,"51,294",927,"52,001","1,016","52,235",916,"51,131",838,"49,949",864,"48,606",885,"46,148",910,,,,
Rhode Island,"57,201","2,954","58,351","1,649","54,776","2,166","53,897","1,825","56,307","1,588","57,825","1,766","60,290","1,959","62,570","1,749","61,613","1,610","60,102","1,754","58,883","1,696","56,750","1,142","58,546","1,110","59,643","1,207","59,431","1,779","59,957","2,760","55,190","2,943","53,454","2,053","55,151","1,521","52,590","1,731","52,338","1,889","52,265","2,002","51,369","1,742","54,299","1,611","55,931","1,880","56,544","2,285","56,979","2,435","55,633","2,089","53,263","1,678","49,361","1,534",,,,
South Carolina,"45,670","1,818","45,176","1,738","44,040","1,631","43,787","1,382","45,404","1,439","45,905","1,012","48,474","1,246","48,557","1,381","47,699","1,251","48,687","1,128","49,068","1,121","49,701","1,257","50,166","1,227","51,112","1,093","51,796","1,575","50,115","1,799","49,405","1,761","51,314","1,843","48,546","1,757","46,084","1,633","44,667","1,380","43,879","1,630","46,143","1,773","48,591","1,798","47,248","1,808","46,555","1,715","49,593","1,842","47,677","1,670","43,723","1,477","43,123","1,579",,,,
South Dakota,"54,090","2,412","53,209","1,724","50,389","1,662","49,535","1,938","49,831","1,736","53,714","1,039","54,933",873,"53,232","1,242","52,886","1,477","51,975","1,201","51,256","1,044","50,413","1,047","51,502",987,"51,654",861,"50,591",947,"49,314","1,157","45,692","1,299","44,083","1,314","45,071","1,666","46,386","1,801","45,938","1,462","44,147","1,157","42,654","1,001","42,531","1,165","43,871","1,381","43,722","1,321","42,582","1,047","41,650","1,054","39,597","1,169","40,155","1,443",,,,
Tennessee,"45,548","1,498","43,814","2,206","44,471","2,340","43,255","1,725","43,354","1,483","44,233",998,"45,399","1,072","47,464",896,"47,831",971,"47,799","1,139","48,063","1,171","48,570","1,227","48,344","1,043","47,415",963,"49,448","1,302","50,756","1,546","47,334","1,602","45,728","1,497","45,587","1,480","45,085","1,476","42,943","1,223","40,412","1,174","40,889","1,259","40,632","1,266","40,748","1,637","40,956","1,799","41,226","1,460","39,983","1,403","37,520","1,244","36,917",995,,,,
Texas,"55,205",926,"53,781","1,047","52,647",915,"51,536","1,082","51,855","1,026","51,812",642,"51,912",634,"51,777",730,"50,591",623,"51,108",495,"51,276",691,"51,751",711,"53,797",586,"53,918",734,"54,094","1,045","53,527","1,001","51,832",933,"50,714","1,005","49,641",875,"49,096",829,"47,547",833,"46,350",838,"46,683",868,"48,374",956,"48,729",944,"47,934",885,"48,716",984,"49,614",960,"49,882",907,"49,968",947,,,,
Utah,"64,857","2,221","62,149","2,968","59,355","2,058","60,061","1,659","63,102","2,182","66,729","1,411","65,018","1,265","62,705","1,389","65,371","1,461","65,178","1,134","63,666",955,"63,277","1,102","63,216","1,511","64,410","1,483","65,485","1,552","64,953","1,767","63,691","1,909","59,369","1,911","56,056","1,415","56,454","1,262","57,175","1,505","57,266","1,603","52,137","1,731","50,299","1,690","54,872","1,505","53,693","1,489","51,821","1,708","53,606","1,678","53,640","1,294","51,575","1,263",,,,
Vermont,"60,136","2,316","56,591","2,229","56,017","2,204","57,728","1,927","59,286","1,880","56,808","1,106","54,997","1,110","57,640","1,268","61,322","1,264","60,462","1,307","57,568","1,176","56,199",968,"55,630",970,"54,552","1,040","56,833","1,359","58,195","1,774","54,424","1,996","50,161","1,827","50,483","1,561","54,470","2,052","53,429","1,920","52,214","1,553","51,865","1,759","52,106","1,816","56,247","1,825","56,803","1,714","53,285","1,988","50,758","1,987","52,704","1,664","51,855","1,691",,,,
Virginia,"63,858","2,129","67,763","1,747","66,355","1,807","65,807","1,828","66,261","1,994","67,536","1,198","67,933","1,295","67,388","1,413","65,076","1,365","63,588","1,166","67,384","1,414","67,992","1,528","66,322","1,330","66,084","1,234","64,965","1,664","64,012","2,353","63,138","2,461","61,138","2,057","57,492","1,785","57,783","1,880","59,226","1,917","61,057","1,845","62,298","1,856","61,530","1,694","62,350","1,675","62,933","1,959","61,383","1,880","60,611","1,742","60,536","2,060","58,697","1,940",,,,
Washington,"63,190","2,311","62,678","1,508","62,054","1,854","60,484","1,889","63,883","2,031","64,529","1,480","64,368","1,731","65,362","1,424","62,899","1,123","62,054","1,072","61,932","1,296","60,374","1,269","58,204","1,223","57,704","1,380","61,617","1,936","66,811","2,057","67,276","1,867","60,412","2,032","55,079","1,794","54,022","1,569","55,342","1,511","56,870","1,587","56,900","1,675","57,086","1,723","57,754","2,018","60,633","1,943","58,401","1,725","55,013","1,716","52,958","1,462","52,404","1,389",,,,
West Virginia,"41,210","2,012","42,953","2,139","44,517","2,046","45,289","1,983","45,610","1,898","43,277","1,060","44,971","1,106","46,640","1,054","44,698","1,123","43,054","1,142","42,048","1,132","40,450",910,"39,201",749,"40,101",735,"41,083","1,058","40,248","1,146","39,648","1,282","39,239","1,600","38,221","1,368","37,874","1,354","36,761","1,446","34,895","1,258","36,430","1,247","39,123","1,471","39,485","1,470","38,646","1,377","35,813","1,376","34,168","1,408","33,784","1,483","35,098","1,263",,,,
